Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Dina,2024-04-30 00:28:35,00:01:18,,Trailer: Hack Your Health: The Secrets of Your Gut,TRAILER,LG 2016 MStar M2 Standard DTV Smart TV,00:01:18,00:01:18,EG (Egypt)
Dina,2024-04-30 00:27:20,00:01:08,,Instant Family_hook_primary_16x9,HOOK,LG 2016 MStar M2 Standard DTV Smart TV,00:01:08,00:01:08,EG (Egypt)
Dina,2024-04-30 00:25:40,00:01:34,,The Outcasts_hook_primary_16x9,HOOK,LG 2016 MStar M2 Standard DTV Smart TV,00:01:34,00:01:34,EG (Egypt)
Dina,2024-04-30 00:24:46,00:00:48,,Queenpins_hook_primary_16x9,HOOK,LG 2016 MStar M2 Standard DTV Smart TV,00:00:48,00:00:48,EG (Egypt)
Dina,2024-04-30 00:22:21,00:02:19,,Trailer: Irish Wish,TRAILER,LG 2016 MStar M2 Standard DTV Smart TV,00:02:19,00:02:19,EG (Egypt)
Dina,2024-04-30 00:20:33,00:01:41,,Scent of a Woman_hook_primary_16x9,HOOK,LG 2016 MStar M2 Standard DTV Smart TV,00:01:41,00:01:41,EG (Egypt)
Dina,2024-04-30 00:19:41,00:00:46,,Monk: Season 1_hook_primary_16x9,HOOK,LG 2016 MStar M2 Standard DTV Smart TV,00:00:46,00:00:46,EG (Egypt)
Dina,2024-04-30 00:17:38,00:01:57,,Season 1 Trailer: Finding Ola,TRAILER,LG 2016 MStar M2 Standard DTV Smart TV,00:01:57,00:01:57,EG (Egypt)
Dina,2024-04-30 00:15:40,00:01:50,,Season 1 Trailer: Testament: The Story of Moses,TRAILER,LG 2016 MStar M2 Standard DTV Smart TV,00:01:50,00:01:50,EG (Egypt)
Dina,2024-04-30 00:14:05,00:01:27,,Hakayat Benat: Season 1_hook_primary_16x9,HOOK,LG 2016 MStar M2 Standard DTV Smart TV,00:01:27,00:01:27,EG (Egypt)
Dina,2024-04-30 00:12:28,00:01:31,,The Family Man_hook_primary_16x9,HOOK,LG 2016 MStar M2 Standard DTV Smart TV,00:01:31,00:01:31,EG (Egypt)
Dina,2024-04-30 00:10:14,00:02:09,,Limited Series Trailer: Baby Reindeer,TRAILER,LG 2016 MStar M2 Standard DTV Smart TV,00:02:09,00:02:09,EG (Egypt)
Dina,2024-04-30 00:08:31,00:01:36,,The Back-Up Plan_hook_primary_16x9,HOOK,LG 2016 MStar M2 Standard DTV Smart TV,00:01:36,00:01:36,EG (Egypt)
Dina,2024-04-30 00:07:37,00:00:49,,Grace and Grace_hook_primary_16x9,HOOK,LG 2016 MStar M2 Standard DTV Smart TV,00:00:49,00:00:49,EG (Egypt)
Dina,2024-04-30 00:05:55,00:01:38,Autoplayed: user action: None; ,Trailer: Honeymoonish,TRAILER,LG 2016 MStar M2 Standard DTV Smart TV,00:01:38,00:01:38,EG (Egypt)
Dina,2024-04-29 22:35:46,01:29:59,Autoplayed: user action: User_Interaction; ,Face to Face,,LG 2016 MStar M2 Standard DTV Smart TV,01:52:22,01:52:22,EG (Egypt)
Dina,2024-04-28 23:43:23,00:22:23,,Face to Face,,LG 2016 MStar M2 Standard DTV Smart TV,00:22:23,Not latest view,EG (Egypt)
Dina,2024-04-28 23:32:44,00:00:43,Autoplayed: user action: None; ,Face to Face_hook_primary_16x9,HOOK,LG 2016 MStar M2 Standard DTV Smart TV,00:00:43,00:00:43,EG (Egypt)
Dina,2024-04-25 16:23:24,00:12:14,,Marry Me Again?,,DefaultWidevineAndroidPhone,00:12:13,00:12:13,EG (Egypt)
